id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
1034,01-03-2023,"Bank of America, N.A.",91979,5451340.16,520
1035,01-03-2023,Bank of Baroda,3935199,8441220.72,510491
1036,01-03-2023,Bank of India,2867984,6264977.75,493040
1037,01-03-2023,Bank of Maharashtra,7756651,2481198.51,229991
1038,01-03-2023,Barclays Bank PLC,102478,1490420.9,2099
1039,01-03-2023,Bassein Catholic Co-operative Bank,23343,22997.14,3468
1040,01-03-2023,Bharat Co-operative Bank,49383,141784.63,3240
1041,01-03-2023,CSB Bank,126156,56881.48,53686
1042,01-03-2023,Canara Bank,3878559,5811720.93,582344
1043,01-03-2023,Capital Small Finance Bank,13138,25909.06,586
1044,01-03-2023,Central Bank of India,8968170,2789841.75,259031
1045,01-03-2023,City Union Bank,798541,873828.74,98405
1046,01-03-2023,Co-operative Rabobank U.A.,0,0,0
1047,01-03-2023,Credit Agricole Corporate and Investment Bank,51081,187158.05,145
1048,01-03-2023,DBS Bank India,518827,2905442.38,61323
1049,01-03-2023,DCB Bank,177142,262140.3,19011
1050,01-03-2023,Deutsche Bank AG,54561,48191.74,19160
1051,01-03-2023,Dhanlaxmi Bank,117210,132915.02,21154
1052,01-03-2023,ESAF Small Finance Bank,84553,31435.93,3949
1053,01-03-2023,Emirates NBD Bank,325,640.75,161
1054,01-03-2023,Equitas Small Finance Bank,125124,124923.6,104941
1055,01-03-2023,Federal Bank,2714654,2061845.38,247567
1056,01-03-2023,Fincare Small Finance Bank,73856,50989.03,7555
1057,01-03-2023,Fino Payments Bank,0,0,0
1058,01-03-2023,GP Parsik Janata Co-operative Bank,45855,58470.44,5268
1059,01-03-2023,HDFC Bank,60061234,56862921.79,25989176
1060,01-03-2023,HSBC,7647176,39055973.89,140931
1061,01-03-2023,ICICI Bank,97068783,439432988.8,4524633
1062,01-03-2023,IDBI Bank,2925215,7032081.51,571466
1063,01-03-2023,IDFC First Bank,5027507,10509608.72,344029
1064,01-03-2023,Indian Bank,3452439,2909562.66,1290611
1065,01-03-2023,Indian Overseas Bank,3303198,2762820.08,364214
1066,01-03-2023,IndusInd Bank,3906981,5951230.28,589859
1067,01-03-2023,Industrial and Commercial Bank of China,537,7327.67,31
1068,01-03-2023,Industrial Bank of Korea,1704,14862.6,104
1069,01-03-2023,Jana Small Finance Bank,25051,18912.41,19700
1070,01-03-2023,Janata Co-operative Bank Pune,79777,68288.07,7189
1071,01-03-2023,Karnataka Bank,391387,598120.57,37517
1072,01-03-2023,Kookmin Bank,372,1089.22,76
1073,01-03-2023,Kotak Mahindra Bank,13618940,36938287.75,1958633
1074,01-03-2023,MUFG Bank,130634,3626448.75,514
1075,01-03-2023,Mahesh Co-operative Bank Pune,6137,7469.68,7831
1076,01-03-2023,NKGSB Co-operative Bank,34340,29138.26,3000
1077,01-03-2023,NSDL Payments Bank,5994,516108.54,24
1078,01-03-2023,Nainital Bank,13879,24129.16,1648
1079,01-03-2023,New India Co-operative Bank,6782,3669.42,1984
1080,01-03-2023,North East Small Finance Bank,29762,49030.3,3241
1081,01-03-2023,Paytm Payments Bank,66112,16040.27,6930
1082,01-03-2023,Punjab and Sind Bank,123197,218531.99,21227
1083,01-03-2023,Punjab National Bank,6105579,18822084.34,661979
1084,01-03-2023,RBL Bank,550151,1430503.32,103598
1085,01-03-2023,SBM Bank India,3596,3617.5,1685
1086,01-03-2023,SVC Co-operative Bank,151388,231808.43,39842
1087,01-03-2023,Saraswat Co-operative Bank,473115,808456.21,34462
1088,01-03-2023,Shinhan Bank,9958,57970.9,3735
1089,01-03-2023,Shivalik Small Finance Bank,15233,37565.34,1430
1090,01-03-2023,Societe Generale,1808,97326.84,12
1091,01-03-2023,South Indian Bank,674558,737960.19,72097
1092,01-03-2023,State Bank of India,129135154,188457457.2,36433510
1093,01-03-2023,Suryoday Small Finance Bank,17783,10734.78,8661
1094,01-03-2023,TJSB Co-operative Bank,134244,156780.81,14652
1095,01-03-2023,Tamil Nadu State Co-operative Bank,13245,78040.09,727
1096,01-03-2023,Tamilnad Mercantile Bank,620300,814807.7,46468
1097,01-03-2023,Thane Bharat Co-operative Bank,23131,20838.56,2938
1098,01-03-2023,Ahmedabad District Co-operative Bank,2608,6100.78,80
1099,01-03-2023,Akola Janata Commercial Co-operative Bank,2174,3741.63,502
1100,01-03-2023,Jammu and Kashmir Bank,556249,715795.05,107808
1101,01-03-2023,Kalupur Commercial Co-operative Bank,80293,276151.13,4787
1102,01-03-2023,Kalyan Janata Co-operative Bank,7660,8574.85,891
1103,01-03-2023,Karur Vysya Bank,1104410,1912541.98,345818
1104,01-03-2023,Surat Peoples Co-operative Bank,13830,45143.32,697
1105,01-03-2023,UCO Bank,383392,514636.17,76122
1106,01-03-2023,Ujjivan Small Finance Bank,80324,229436.43,10929
1107,01-03-2023,Union Bank of India,3475336,6170298.2,452033
1108,01-03-2023,Utkarsh Small Finance Bank,16108,18339.93,5367
1109,01-03-2023,Woori Bank,3623,22039.53,533
1110,01-03-2023,Yes Bank,5382787,18548855.89,379897
1111,01-04-2023,AU Small Finance Bank,778822,1152012.4,47431
1112,01-04-2023,Abhyudaya Co-operative Bank,2,0,1
1113,01-04-2023,Ahmednagar Merchants Co-operative Bank,18238,29251.22,39
1114,01-04-2023,Airtel Payments Bank,24670,1359.69,7462
1115,01-04-2023,Andhra Pradesh Grameen Vikas Bank,4332,3242.71,833
1116,01-04-2023,Australia and New Zealand Banking Group,28801,1098350.73,49
1117,01-04-2023,Axis Bank,5562952,4176519.78,1903427
1118,01-04-2023,BNP Paribas,454386,3228769.7,415
1119,01-04-2023,Bandhan Bank,474432,590283.85,89429
1120,01-04-2023,"Bank of America, N.A.",70069,3955747.5,514
1121,01-04-2023,Bank of Baroda,3350782,6812230.39,527442
1122,01-04-2023,Bank of India,2385821,5044557.44,507621
1123,01-04-2023,Bank of Maharashtra,7806611,2332538.18,236396
1124,01-04-2023,Barclays Bank PLC,91895,687916.64,2092
1125,01-04-2023,Bassein Catholic Co-operative Bank,15721,16306.72,3363
1126,01-04-2023,Bharat Co-operative Bank,42373,104018.12,3140
1127,01-04-2023,CSB Bank,121282,56383.86,52345
1128,01-04-2023,Canara Bank,3338881,4494658.43,576081
1129,01-04-2023,Capital Small Finance Bank,11259,22495.74,596
1130,01-04-2023,Central Bank of India,8556309,2333667.21,264731
1131,01-04-2023,City Union Bank,701526,743217.92,99431
1132,01-04-2023,Co-operative Rabobank U.A.,0,0,0
1133,01-04-2023,Credit Agricole Corporate and Investment Bank,45965,174846.36,145
1134,01-04-2023,DBS Bank India,386629,2108058.26,58504
1135,01-04-2023,DCB Bank,146805,210582.37,19099
1136,01-04-2023,Deutsche Bank AG,49202,34395.37,19541
1137,01-04-2023,Dhanlaxmi Bank,95714,99006.07,20413
1138,01-04-2023,ESAF Small Finance Bank,82018,33999.91,2253
1139,01-04-2023,Emirates NBD Bank,247,660.75,174
1140,01-04-2023,Equitas Small Finance Bank,109328,93297.39,100855
1141,01-04-2023,Federal Bank,2386485,1518699.82,250160
1142,01-04-2023,Fincare Small Finance Bank,51241,42751.65,7774
1143,01-04-2023,Fino Payments Bank,0,0,0
1144,01-04-2023,GP Parsik Janata Co-operative Bank,41265,50566.52,5520
1145,01-04-2023,HDFC Bank,53308528,48462691,25815785
1146,01-04-2023,HSBC,8641032,30612896.72,122216
1147,01-04-2023,ICICI Bank,81508534,342840200.4,4576753
1148,01-04-2023,IDBI Bank,2417783,5350189.43,583046
1149,01-04-2023,IDFC First Bank,4397914,7957171.44,372605
1150,01-04-2023,Indian Bank,2829253,2325736.69,1319896
1151,01-04-2023,Indian Overseas Bank,2941328,2732898.03,367906
1152,01-04-2023,IndusInd Bank,2978124,4227115.72,521984
1153,01-04-2023,Industrial and Commercial Bank of China,423,6030.39,32
1154,01-04-2023,Industrial Bank of Korea,1729,9963.85,106
1155,01-04-2023,Jana Small Finance Bank,19863,16179.84,6442
1156,01-04-2023,Janata Co-operative Bank Pune,70300,63003.81,7096
1157,01-04-2023,Karnataka Bank,342404,502450.79,38642
1158,01-04-2023,Kookmin Bank,320,1074.91,75
1159,01-04-2023,Kotak Mahindra Bank,11205186,26068372.6,2080134
1160,01-04-2023,MUFG Bank,108324,801097.98,523
1161,01-04-2023,Mahesh Co-operative Bank Pune,7298,8772.62,8130
1162,01-04-2023,NKGSB Co-operative Bank,30790,26500.22,3084
1163,01-04-2023,NSDL Payments Bank,6770,514999.48,23
1164,01-04-2023,Nainital Bank,11941,20047.14,1693
1165,01-04-2023,New India Co-operative Bank,6098,3222.82,2039
1166,01-04-2023,North East Small Finance Bank,25510,27431.74,3144
1167,01-04-2023,Paytm Payments Bank,62886,16940.61,8781
1168,01-04-2023,Punjab and Sind Bank,102585,164090.66,22073
1169,01-04-2023,Punjab National Bank,4928575,14231283.61,610421
1170,01-04-2023,RBL Bank,495472,1136997.91,107944
1171,01-04-2023,SBM Bank India,6101,3319.81,3147
1172,01-04-2023,SVC Co-operative Bank,133030,197959.55,41561
1173,01-04-2023,Saraswat Co-operative Bank,400916,633491.15,32893
1174,01-04-2023,Shinhan Bank,9394,52538.81,3746
1175,01-04-2023,Shivalik Small Finance Bank,14288,30940.51,1538
1176,01-04-2023,Societe Generale,1217,104148.74,12
1177,01-04-2023,South Indian Bank,580208,627070.32,72950
1178,01-04-2023,State Bank of India,115113775,149124204.1,36916904
1179,01-04-2023,Suryoday Small Finance Bank,15071,10367.88,8745
1180,01-04-2023,TJSB Co-operative Bank,117619,133995.65,14986
1181,01-04-2023,Tamil Nadu State Co-operative Bank,12014,53462.62,726
1182,01-04-2023,Tamilnad Mercantile Bank,542881,697797.57,46967
1183,01-04-2023,Thane Bharat Co-operative Bank,20661,16697.75,2966
1184,01-04-2023,Ahmedabad District Co-operative Bank,1232,2731.4,100
1185,01-04-2023,Akola Janata Commercial Co-operative Bank,1511,2801.1,774
1186,01-04-2023,Jammu and Kashmir Bank,492414,593271.64,108681
1187,01-04-2023,Kalupur Commercial Co-operative Bank,62750,201737.26,4925
1188,01-04-2023,Kalyan Janata Co-operative Bank,7099,7434.98,872
1189,01-04-2023,Karur Vysya Bank,953634,1501382.31,175920
1190,01-04-2023,Surat Peoples Co-operative Bank,12057,35054.74,791
1191,01-04-2023,UCO Bank,311877,429655.7,80308
1192,01-04-2023,Ujjivan Small Finance Bank,72493,297519.95,11621
1193,01-04-2023,Union Bank of India,2975817,5107893.13,465451
1194,01-04-2023,Utkarsh Small Finance Bank,17418,27607.78,6063
1195,01-04-2023,Woori Bank,3407,20791.59,526
1196,01-04-2023,Yes Bank,5043469,14374198.76,360540
1197,01-05-2023,AU Small Finance Bank,958172,1324807.71,46960
1198,01-05-2023,Abhyudaya Co-operative Bank,2,0.05,1
1199,01-05-2023,Ahmednagar Merchants Co-operative Bank,22199,36491.09,55
1200,01-05-2023,Airtel Payments Bank,24767,1520.91,4607
1201,01-05-2023,Andhra Pradesh Grameen Vikas Bank,1454,1190.49,835
1202,01-05-2023,Australia and New Zealand Banking Group,30700,1217183.34,50
1203,01-05-2023,Axis Bank,5518681,4156137.44,1689823
1204,01-05-2023,BNP Paribas,451626,3500293.7,421
1205,01-05-2023,Bandhan Bank,506937,637439.16,88337
1206,01-05-2023,"Bank of America, N.A.",81232,3847263.6,515
1207,01-05-2023,Bank of Baroda,3474090,6886037.37,499279
1208,01-05-2023,Bank of India,2482749,5325535.12,487956
1209,01-05-2023,Bank of Maharashtra,7988868,2325857.76,227471
1210,01-05-2023,Barclays Bank PLC,129747,881610.87,2093
1211,01-05-2023,Bassein Catholic Co-operative Bank,32799,26768.41,40931
1212,01-05-2023,Bharat Co-operative Bank,43348,99433.63,3118
1213,01-05-2023,CSB Bank,123537,55086.61,51357
1214,01-05-2023,Canara Bank,3360535,4692631.16,539859
1215,01-05-2023,Capital Small Finance Bank,12460,23840.08,607
1216,01-05-2023,Central Bank of India,9332682,2431018.26,251574
1217,01-05-2023,City Union Bank,745836,790115.04,97597
1218,01-05-2023,Credit Agricole Corporate and Investment Bank,47316,166406.68,149
1219,01-05-2023,DBS Bank India,408345,2706921.57,67246
1220,01-05-2023,DCB Bank,152694,219410.78,18555
1221,01-05-2023,Deutsche Bank AG,48854,34502.49,18769
1222,01-05-2023,Dhanlaxmi Bank,76565,144816.23,20125
1223,01-05-2023,ESAF Small Finance Bank,81053,27675.76,3848
1224,01-05-2023,Emirates NBD Bank,281,649.66,139
1225,01-05-2023,Equitas Small Finance Bank,115109,87964.99,97903
1226,01-05-2023,Federal Bank,2681037,1708236.04,241099
1227,01-05-2023,Fincare Small Finance Bank,74614,51610.18,7203
1228,01-05-2023,GP Parsik Janata Co-operative Bank,41968,54367.5,5429
1229,01-05-2023,HDFC Bank,58679118,52064164.61,26164023
1230,01-05-2023,HSBC,8235358,33961143.44,124390
1231,01-05-2023,ICICI Bank,89575515,373910115.1,4412667
1232,01-05-2023,IDBI Bank,2441402,5246547.39,564746
1233,01-05-2023,IDFC First Bank,4787030,8438441.33,382533
1234,01-05-2023,Indian Bank,2905217,2434578.59,1276083
1235,01-05-2023,Indian Overseas Bank,3086759,2693354.12,357990
1236,01-05-2023,IndusInd Bank,3316103,4181041.85,552320
1237,01-05-2023,Industrial and Commercial Bank of China,905,9211.81,35
1238,01-05-2023,Industrial Bank of Korea,1903,10535.21,105
1239,01-05-2023,Jana Small Finance Bank,20909,15638.7,5989
1240,01-05-2023,Janata Co-operative Bank Pune,75236,66857.07,9566
1241,01-05-2023,Karnataka Bank,350126,525166.79,37991
1242,01-05-2023,Kookmin Bank,360,1042.55,76
1243,01-05-2023,Kotak Mahindra Bank,12126708,29599505.83,1990936
1244,01-05-2023,Mahanagar Nagrik Co-operative Bank Maryadit,0,0,0
1245,01-05-2023,MUFG Bank,114193,748568.17,515
1246,01-05-2023,Mahesh Co-operative Bank Pune,7895,9578.19,8427
1247,01-05-2023,NKGSB Co-operative Bank,31534,26762.82,3030
1248,01-05-2023,NSDL Payments Bank,7704,509942.55,20
1249,01-05-2023,Nainital Bank,12856,20414.3,1645
1250,01-05-2023,New India Co-operative Bank,6561,3483.79,1974
1251,01-05-2023,North East Small Finance Bank,6789,17779.71,1207
1252,01-05-2023,Paytm Payments Bank,73205,19814.41,9482
1253,01-05-2023,Punjab and Sind Bank,115295,186809.3,21579
1254,01-05-2023,Punjab National Bank,5462613,15291399.24,608383
1255,01-05-2023,RBL Bank,628578,1263905.04,106365
1256,01-05-2023,SBM Bank India,4137,2317.14,3129
1257,01-05-2023,SVC Co-operative Bank,133835,191946.25,40857
1258,01-05-2023,Saraswat Co-operative Bank,430164,690211.9,36796
1259,01-05-2023,Shinhan Bank,9724,54431.61,3689
1260,01-05-2023,Shivalik Small Finance Bank,14823,33652.4,1417
1261,01-05-2023,Societe Generale,629,122098.44,12
1262,01-05-2023,South Indian Bank,645896,703481.58,69760
1263,01-05-2023,State Bank of India,116697687,179571614.9,36875709
1264,01-05-2023,Suryoday Small Finance Bank,23686,35211.11,9443
1265,01-05-2023,TJSB Co-operative Bank,123365,137775.75,14861
1266,01-05-2023,Tamil Nadu State Co-operative Bank,12466,46376.19,708
1267,01-05-2023,Tamilnad Mercantile Bank,568685,711060.4,45923
1268,01-05-2023,Thane Bharat Co-operative Bank,21040,16857.04,2875
1269,01-05-2023,Ahmedabad District Co-operative Bank,1385,2719.63,115
1270,01-05-2023,Akola Janata Commercial Co-operative Bank,1623,1387.32,730
1271,01-05-2023,Jammu and Kashmir Bank,479404,602948.83,108979
1272,01-05-2023,Kalupur Commercial Co-operative Bank,69237,203258.89,4784
1273,01-05-2023,Kalyan Janata Co-operative Bank,7353,7606.29,911
1274,01-05-2023,Karur Vysya Bank,1019189,1601119.19,171500
1275,01-05-2023,Surat Peoples Co-operative Bank,12405,40261.22,718
1276,01-05-2023,UCO Bank,330231,452175.81,78289
1277,01-05-2023,Ujjivan Small Finance Bank,70054,179074.16,11186
1278,01-05-2023,Union Bank of India,3043121,5306649.79,439652
1279,01-05-2023,Utkarsh Small Finance Bank,18509,32326.26,5992
1280,01-05-2023,Woori Bank,3250,19690.24,527
1281,01-05-2023,Yes Bank,5036759,14611357.12,347799
1282,01-06-2023,AU Small Finance Bank,856622,1363456.21,48345
1283,01-06-2023,Abhyudaya Co-operative Bank,0,0,1
1284,01-06-2023,Ahmednagar Merchants Co-operative Bank,21096,35356.11,65
1285,01-06-2023,Airtel Payments Bank,18974,1275.16,2260
1286,01-06-2023,Andhra Pradesh Grameen Vikas Bank,1335,1114.61,824
1287,01-06-2023,Australia and New Zealand Banking Group,31131,1284527.35,50
1288,01-06-2023,Axis Bank,5516783,4210874.92,1670292
1289,01-06-2023,BNP Paribas,480178,3853569.17,418
1290,01-06-2023,Bandhan Bank,487044,544094.33,87580
1291,01-06-2023,"Bank of America, N.A.",89529,5023895.47,527
1292,01-06-2023,Bank of Baroda,3464742,7002718.16,492989
1293,01-06-2023,Bank of India,2495210,5597226.19,488150
1294,01-06-2023,Bank of Maharashtra,7529602,2423909.58,224730
1295,01-06-2023,Barclays Bank PLC,140618,1305241.92,2094
1296,01-06-2023,Bassein Catholic Co-operative Bank,59002,43107.4,43384
1297,01-06-2023,Bharat Co-operative Bank,43841,100817.23,3107
1298,01-06-2023,CSB Bank,119596,52424.36,50349
1299,01-06-2023,Canara Bank,3181506,4664453.93,534960
1300,01-06-2023,Capital Small Finance Bank,11500,22272.46,601
1301,01-06-2023,Central Bank of India,8552035,2317902.27,253273
1302,01-06-2023,City Union Bank,720466,785759.13,96305
1303,01-06-2023,Credit Agricole Corporate and Investment Bank,47607,175557.99,140
1304,01-06-2023,DBS Bank India,397650,2704475.2,65355
1305,01-06-2023,DCB Bank,149115,208307.13,18380
1306,01-06-2023,Deutsche Bank AG,46282,33338.44,18381
1307,01-06-2023,Dhanlaxmi Bank,104585,108436.61,20115
1308,01-06-2023,ESAF Small Finance Bank,80016,25710.41,3897
1309,01-06-2023,Emirates NBD Bank,345,1083.31,147
1310,01-06-2023,Equitas Small Finance Bank,110757,100000.24,94187
1311,01-06-2023,Federal Bank,2641326,1694447.73,241221
1312,01-06-2023,Fincare Small Finance Bank,71378,54506.85,6547
1313,01-06-2023,GP Parsik Janata Co-operative Bank,41005,51503.7,5383
1314,01-06-2023,HDFC Bank,58514443,52301902.73,26580228
1315,01-06-2023,HSBC,8491409,36751887.7,147954
1316,01-06-2023,ICICI Bank,88163678,408811626.8,4192240
1317,01-06-2023,IDBI Bank,2484976,5440906.91,559137
1318,01-06-2023,IDFC First Bank,5027309,9903451.46,389199
1319,01-06-2023,Indian Bank,2859934,2441961.92,1300425
1320,01-06-2023,Indian Overseas Bank,3020808,2684723.42,359401
1321,01-06-2023,IndusInd Bank,3089506,3865747.47,529047
1322,01-06-2023,Industrial and Commercial Bank of China,674,7403.26,32
1323,01-06-2023,Industrial Bank of Korea,1867,38594.36,104
1324,01-06-2023,Jana Small Finance Bank,24569,17206.02,5617
1325,01-06-2023,Janata Co-operative Bank Pune,74632,70467.96,7023
1326,01-06-2023,Karnataka Bank,347347,515761.44,37526
1327,01-06-2023,Kookmin Bank,310,1137.28,76
1328,01-06-2023,Kotak Mahindra Bank,11734529,30703631.71,1999748
1329,01-06-2023,MUFG Bank,120985,1119631.02,532
1330,01-06-2023,Mahesh Co-operative Bank Pune,7817,9524.46,8819
1331,01-06-2023,NKGSB Co-operative Bank,33047,26173.54,4113
1332,01-06-2023,NSDL Payments Bank,7354,488279.95,23
1333,01-06-2023,Nainital Bank,11787,18757.98,1631
1334,01-06-2023,New India Co-operative Bank,6237,3270.01,1950
1335,01-06-2023,North East Small Finance Bank,9351,18956.52,2066
1336,01-06-2023,Paytm Payments Bank,89489,16676.26,14078
1337,01-06-2023,Punjab and Sind Bank,114899,190679.31,21644
1338,01-06-2023,Punjab National Bank,5479600,15023272.68,617092
1339,01-06-2023,RBL Bank,631697,1318251.62,105941
1340,01-06-2023,SBM Bank India,4359,3405.83,3324
1341,01-06-2023,SVC Co-operative Bank,135149,192192.9,39939
1342,01-06-2023,Saraswat Co-operative Bank,423405,695329.17,37339
1343,01-06-2023,Shinhan Bank,9578,55514.99,3716
1344,01-06-2023,Shivalik Small Finance Bank,13393,26411.01,1216
1345,01-06-2023,Societe Generale,939,45709.31,12
1346,01-06-2023,South Indian Bank,642863,694630.34,70653
1347,01-06-2023,State Bank of India,116619304,190890633,37118167
1348,01-06-2023,Suryoday Small Finance Bank,13466,20442.39,7466
1349,01-06-2023,TJSB Co-operative Bank,120950,134164.05,14928
1350,01-06-2023,Tamil Nadu State Co-operative Bank,12416,53950.19,722
1351,01-06-2023,Tamilnad Mercantile Bank,548805,702541.59,45206
1352,01-06-2023,Thane Bharat Co-operative Bank,20901,16035.76,2859
1353,01-06-2023,Ahmedabad District Co-operative Bank,1324,2556.81,145
1354,01-06-2023,Akola Janata Commercial Co-operative Bank,1703,2986.38,641
1355,01-06-2023,Jammu and Kashmir Bank,485521,621711.21,108600
1356,01-06-2023,Kalupur Commercial Co-operative Bank,67611,188244.87,4801
1357,01-06-2023,Kalyan Janata Co-operative Bank,6859,7075.54,672
1358,01-06-2023,Karur Vysya Bank,985469,1559111.02,171110
1359,01-06-2023,Surat Peoples Co-operative Bank,10258,36211.73,673
1360,01-06-2023,UCO Bank,329528,439320.54,79331
1361,01-06-2023,Ujjivan Small Finance Bank,69588,206381.04,10913
1362,01-06-2023,Union Bank of India,3141051,5632233.52,442410
1363,01-06-2023,Utkarsh Small Finance Bank,17628,22421.1,5716
1364,01-06-2023,Woori Bank,3053,20506.9,518
1365,01-06-2023,Yes Bank,5084742,15620748.12,341962
1366,01-07-2023,AU Small Finance Bank,879249,1497490.42,51229
1367,01-07-2023,Abhyudaya Co-operative Bank,2,0.19,1
1368,01-07-2023,Ahmednagar Merchants Co-operative Bank,20982,34280.36,36
1369,01-07-2023,Airtel Payments Bank,17791,1219.48,1091
1370,01-07-2023,Andhra Pradesh Grameen Vikas Bank,1466,1112.22,913
1371,01-07-2023,Australia and New Zealand Banking Group,30632,1140190.33,51
1372,01-07-2023,Axis Bank,5919505,4534372.84,1737572
1373,01-07-2023,BNP Paribas,382152,2725816.52,423
1374,01-07-2023,Bandhan Bank,505545,573377.32,88713
1375,01-07-2023,"Bank of America, N.A.",90051,4054949.12,531
1376,01-07-2023,Bank of Baroda,3561158,6764550.5,519318
1377,01-07-2023,Bank of India,2556663,5939410.23,520010
1378,01-07-2023,Bank of Maharashtra,7706648,2372760.16,200671
1379,01-07-2023,Barclays Bank PLC,135309,821822.54,2092
1380,01-07-2023,Bassein Catholic Co-operative Bank,67158,48081.04,12642
1381,01-07-2023,Bharat Co-operative Bank,43432,91372.37,3205
1382,01-07-2023,CSB Bank,121695,52323,50640
1383,01-07-2023,Canara Bank,3147869,4212540.81,529079
1384,01-07-2023,Capital Small Finance Bank,11327,21625.82,584
1385,01-07-2023,Central Bank of India,8991238,2274859.91,258540
1386,01-07-2023,City Union Bank,741920,815039.98,98928
1387,01-07-2023,Credit Agricole Corporate and Investment Bank,49154,171408.92,153
1388,01-07-2023,DBS Bank India,407534,2561673.19,69936
1389,01-07-2023,DCB Bank,153269,214415.83,18746
1390,01-07-2023,Deutsche Bank AG,50371,36359.36,18924
1391,01-07-2023,Dhanlaxmi Bank,107698,114520.29,21968
1392,01-07-2023,ESAF Small Finance Bank,76185,29716.66,3980
1393,01-07-2023,Emirates NBD Bank,298,938.3,152
1394,01-07-2023,Equitas Small Finance Bank,108889,101947.16,97395
1395,01-07-2023,Federal Bank,2631150,1683235.33,247333
1396,01-07-2023,Fincare Small Finance Bank,83278,54517.41,6717
1397,01-07-2023,GP Parsik Janata Co-operative Bank,41219,48995.31,5926
1398,01-07-2023,HDFC Bank,64876079,55728851.3,27344555
1399,01-07-2023,HSBC,7969114,37638578.49,152121
1400,01-07-2023,ICICI Bank,107909091,400802393.9,4196250
1401,01-07-2023,IDBI Bank,2603111,5421229.27,590073
1402,01-07-2023,IDFC First Bank,4980866,9346857.07,403255
1403,01-07-2023,Indian Bank,3065701,2488898.1,1346498
1404,01-07-2023,Indian Overseas Bank,3128969,2847601.02,366568
1405,01-07-2023,IndusInd Bank,3791294,4410502.27,582475
1406,01-07-2023,Industrial and Commercial Bank of China,728,7247.92,34
1407,01-07-2023,Industrial Bank of Korea,1904,39254.9,103
1408,01-07-2023,Jana Small Finance Bank,27986,19193.67,6090
1409,01-07-2023,Janata Co-operative Bank Pune,75217,61648.63,7048
1410,01-07-2023,Karnataka Bank,389833,516765.14,31063
1411,01-07-2023,Kookmin Bank,285,1093.56,79
1412,01-07-2023,Kotak Mahindra Bank,12030740,29668045.73,2149155
1413,01-07-2023,MUFG Bank,120908,988996.77,536
1414,01-07-2023,Mahesh Co-operative Bank Pune,7954,9685.56,8943
1415,01-07-2023,NKGSB Co-operative Bank,31912,26458.98,5204
1416,01-07-2023,NSDL Payments Bank,8005,563584.86,22
1417,01-07-2023,Nainital Bank,12675,19783.26,1639
1418,01-07-2023,New India Co-operative Bank,7171,3841.15,2142
1419,01-07-2023,North East Small Finance Bank,6558,18623.23,444
1420,01-07-2023,Paytm Payments Bank,56346,9288.26,11575
1421,01-07-2023,Punjab and Sind Bank,121676,193793.81,22549
1422,01-07-2023,Punjab National Bank,5726243,14769216.8,644112
1423,01-07-2023,RBL Bank,761307,1525747.66,113430
1424,01-07-2023,SBM Bank India,4396,3279.14,3358
1425,01-07-2023,SVC Co-operative Bank,137977,185430.42,42622
1426,01-07-2023,Saraswat Co-operative Bank,435353,680380.57,34548
1427,01-07-2023,Shinhan Bank,9823,55714.13,3725
1428,01-07-2023,Shivalik Small Finance Bank,12603,23582.84,1228
1429,01-07-2023,Societe Generale,796,7285.69,12
1430,01-07-2023,South Indian Bank,655297,684628.54,72893
1431,01-07-2023,State Bank of India,125027566,177653056.8,38291274
1432,01-07-2023,Suryoday Small Finance Bank,11278,13316.22,8524
1433,01-07-2023,TJSB Co-operative Bank,125046,135598.17,15222
1434,01-07-2023,Tamil Nadu State Co-operative Bank,12406,57231.92,725
1435,01-07-2023,Tamilnad Mercantile Bank,560150,724541.71,45319
1436,01-07-2023,Thane Bharat Co-operative Bank,21458,16574.61,2928
1437,01-07-2023,Ahmedabad District Co-operative Bank,1513,2780.62,165
1438,01-07-2023,Akola Janata Commercial Co-operative Bank,1880,3120.13,663
1439,01-07-2023,Jammu and Kashmir Bank,479688,621124.67,109993
1440,01-07-2023,Kalupur Commercial Co-operative Bank,70260,201092.83,5011
1441,01-07-2023,Kalyan Janata Co-operative Bank,6914,7132.19,828
1442,01-07-2023,Karur Vysya Bank,1003184,1542632.22,175942
1443,01-07-2023,Surat Peoples Co-operative Bank,11159,36356.85,579
1444,01-07-2023,UCO Bank,335804,449855.47,87686
1445,01-07-2023,Ujjivan Small Finance Bank,73821,221337.86,10909
1446,01-07-2023,Union Bank of India,3290761,5324832.7,459841
1447,01-07-2023,Utkarsh Small Finance Bank,18350,20796.55,5849
1448,01-07-2023,Woori Bank,3337,15602.32,518
1449,01-07-2023,Yes Bank,5231235,16977038.92,347243
1450,01-08-2023,AU Small Finance Bank,882008,1649301.9,52181
1451,01-08-2023,Abhyudaya Co-operative Bank,2,1.2,1
1452,01-08-2023,Ahmednagar Merchants Co-operative Bank,22447,37768.92,58
1453,01-08-2023,Airtel Payments Bank,15895,962.36,1249
1454,01-08-2023,Andhra Pradesh Grameen Vikas Bank,1556,1230.73,982
1455,01-08-2023,Australia and New Zealand Banking Group,32635,1443907.69,53
1456,01-08-2023,Axis Bank,5567569,4427542.03,1736273
1457,01-08-2023,BNP Paribas,418010,2844261.73,425
1458,01-08-2023,Bandhan Bank,505145,596786.06,90434
1459,01-08-2023,"Bank of America, N.A.",96421,3794021.64,541
